TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
58	TeamHungerGameName	饥饿游戏组队模式	饥饿游戏组队模式	Team	Hungry Game of Team	Team	Team	Team	Team	Team	Team	Team	Team	Team	Team	Survival Game of Team	Team
59	TNTRunGameName	TNT跑酷	TNT跑酷	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run
60	TNTRunMsgPvpEnableAfter		▢FF00FF00地图还有%1s%2s▢FF00FF00开始崩塌	▢FF00FF00The map will collapse in %1s%2s▢FF00FF00.	▢FF00FF00O Mapa entrará em colapso em %1s %2s▢FF00FF00.	▢FF00FF00Карта начнёт обваливаться через %1s%2s▢FF00FF00.	▢FF00FF00지도는 %1s%2▢FF00FF00초 뒤에 붕괴합니다.	▢FF00FF00Die Karte wird nach %1s%2s▢FF00FF00 zerfallen. 	▢FF00FF00La carte  va commencer à s'effondrer dans ▢FF00FF00%1s%2s	▢FF00FF00El mapa tiene %1s%2s▢FF00FF00 comenzara a colapsar	▢FF00FF00La mappa ha iniziato a collassare ▢FFFFD700%1s%2s.	▢FF00FF00Peta dalam %1s%2s▢FF00FF00 mulai runtuh	▢FF00FF00ยังมี อีก %1s%2s แผนที่จะเริ่มยุบ	▢FF00FF00Harita %1s%2s▢FF00FF00 'de çökmeye başladı	▢FF00FF00Bản đồ còn %1s%2s▢FF00FF00 sẽ bị sụp đổ	▢FF00FF00マップも%1s%2s▢FF00FF00を持ち、崩壊し始めます.	▢FF00FF00 Mapa zostanie zwinięta w%1s%2s▢FF00FF00.
61	TNTRunMsgWinnerInfo		▢FFFFD700恭喜▢FFFFFFFF%1s▢FFFFD700！获得胜利！打破跑酷记录，成为最强跑者！	▢FFFFD700Congratulations! %1s is the winner, the king of runner who broke the record.	▢FFFFD700Parabéns! %1s Você é O Ganhador, O Rei Você Quebrou O Record !!.	▢FFFFD700Поздравляем! %1s победитель, побивший рекорд.	▢FFFFFFFF%1s▢FFFFD700를 축하드립니다.성공했습니다. 프리러닝 기록을 깨고 최강 주자가 되었습니다.	▢FFFFD700Congratulations▢FFFFFFFF%1s!Gewinnen! Sie haben Parkour Rekord brechen und werden der stärkste Läufer!	▢FFFFD700Félicitations ▢FFFFFFFF%1s▢FFFFD700! Vous avez gagné! Vous avez battu le record de course, vous êtes devenu le coureur le plus fort!	▢FFFFD700Felicitaciones a ▢FFFFFFFF%1s▢FFFFD700! ¡Ha ganado! ¡Rompe el récord de Parkour y conviértete en el corredor más fuerte!	▢FFFFD700Congratulazioni ▢FFFFFFFF%1s▢FFFFD700! Ha Vinto! Rotto il record di Parkour e diventa il corridore più forte!	▢FFFFD700Selamat ▢FFFFFFFF%1s▢FFFFD700! Mendapatkan kemenangan! Break rekam dari Parkour, menjadi pelari terkuat!	▢FFFFD700ขอแสดงความยินดี%1s! ชนะ! ทำลายสถิติ เกมปาร์กัวร์และกลายเป็นนักวิ่งที่แข็งแกร่ง!	▢FFFFD700Tebrikler ▢FFFFFFFF%1s▢FFFFD700! Kazanın! Parkur 'un kaydını kesin ve en güçlü koşucu olun!	▢FFFFD700Chúc mừng ▢FFFFFFFF%1s▢FFFFD700! Bạn đã chiến thắng! Đánh bại kỷ lục Parkour, trở thành người chạy nhanh nhất!	▢FFFFD700おめでとう▢FFFFFFFF%1s▢FFFFD700が勝ちました!	▢FFFFD700 Gratulacje! Zwycięzcą jest%1s, król biegacza, który pobił rekord.
62	TNTRunGamePrepareHint		▢FF00FF00游戏开始，地图还有▢FFFF0000%1s秒▢FF00FF00开始坍塌，快跑起来防止掉落。	▢FF00FF00Game has Started，The map will collapse in ▢FFFF0000%1s seconds▢FF00FF00, go and run!	▢FF00FF00O Jogo Começou, O Mapa Entrará em Colapso em ▢FFFF0000%1s Segundos▢FF00FF00, Vai Corra!	▢FF00FF00Игра Началась，Карта начнёт обваливаться через ▢FFFF0000%1s секунд▢FF00FF00, идите или бегите!	▢FF00FF00게임 시작합니다. 지도는 ▢FFFF0000%1s▢FF00FF00초 뒤에 붕괴합니다. 떨어지 않게 빨리 뜁시다.	▢FF00FF00Start. Die Karte wird nach ▢FFFF0000%1s▢FF00FF00 zerfallen. Lauf schnell.	▢FF00FF00Le jeu commence, ▢FFFF0000%1s▢FF00FF00 secondes restantes avant que la carte ne commence à s'éffondrer, courez vite pour éviter de tomber.	▢FFFFD700El juego comienza, ▢FFFF0000%1s秒▢FF00FF00 segundos del mapa comienzan a colapsar, corren para evitar caídas.	▢FF00FF00Il gioco inizia,▢FFFF0000%1s▢FF00FF00 secondi della mappa iniziano a collassare, corri per evitare di cadere.	▢FF00FF00Game dimulai, dalam ▢FFFF0000%1s▢FF00FF00 peta mulai runtuh, melarikan diri cepat supaya tidak jatuh.	▢FF00FF00เกมเริ่ม  ยังมี%1s วินาที แผนที่จะเริ่มยุบ  ต้องรีบวิ่งจะได้ไม่ล้ม	▢FF00FF00Oyun başlıyor,▢FFFF0000%1s▢FF00FF00 saniye haritanın çökmesi başlar, düşmeyi önlemek için koşmaya başlayın.	▢FF00FF00Trò chơi đã bắt đầu, bản đồ còn ▢FFFF0000%1s▢FF00FF00 giây nữa là bắt đầu sụp đổ, hãy chạy nhanh để không bị rớt xuống.	▢FF00FF00ゲームが開始され、マップには崩壊を開始する▢FFFF0000%1s▢FF00FF00秒があり、落下を防ぐために素早く走ります.	▢FF00FF00Game Started ， Mapa zawali się w ▢FFFF0000%1s seconds▢FF00FF00, idź i uruchom
63	TNTRunGameStartHint		▢FF00FF00地图已经开始崩塌。	▢FF00FF00The map has collapsed!	▢FF00FF00The O Mapa Entrou Em Colapso!	▢FF00FF00Карта начала обваливаться!	▢FF00FF00지도는 붕괴하기 시작했습니다.	▢FF00FF00Die Karte beginnt zu zerfallen.	▢FF0000FFLa carte commence à s'effondrer.	▢FFFFD700El mapa ha comenzado a colapsar.	▢FF00FF00La mappa ha iniziato a crollare.	▢FF00FF00Peta mulai runtuh.	▢FF00FF00แผนที่เริ่มยุบ  	▢FF00FF00Harita çökmeye başladı.	▢FF00FF00Bản đồ đã bắt đầu sụp đổ.	▢FF00FF00地図は崩壊し始めた.	▢FF00FF00 Mapa się zawaliła!
64	TNTRunBecomeRole		你成为了▢FF00FF00%1s	You become ▢FF00FF00%1s	Torna-se ▢FF00FF00%1s	Вы стали ▢FF00FF00%1s	▢FF00FF00%1s가 되었습니다.	Sie werden ▢FF00FF00%1s	Vous êtes devenu ▢FF00FF00%1s	Te conviertes en ▢FF00FF00%1s	Diventi ▢FF00FF00%1s	Anda menjadi ▢FF00FF00%1s	คุณเป็น▢FF00FF00%1s	▢FF00FF00%1s oldun	Bạn trở thành ▢FF00FF00%1s	なる▢FF00FF00%1s	Stajesz się ▢FF00FF00%1s
65	TNTRunRunner		跑酷者	Runner	Corredor	Бегуном	파쿠르 실행자	Läufer	Coureur	Corredor	persona Parkour	Pelari	นักปาร์กัวร์	Koşucu	Parkour	ランナー	Biegacz
66	TNTRunDestroyer		破坏者	Broker	Corretor	Брокером	파괴자	Zerstörer	Destructeur	Destructor	sabotatore	Perusak	ผู้ทำลาย	Yok edici	Kẻ phá hoại	ボンバーマン	Pośrednik
67	TNTRunGetDataHint		▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 我: %5s ▢FFFFFFFF- ▢FFFF0000时间: %6s 秒	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Me: %5s ▢FFFFFFFF- ▢FFFF0000Time: %6s s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00 3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Eu: %5s ▢FFFFFFFF- ▢FFFF0000Tempo: %6s s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Я: %5s ▢FFFFFFFF- ▢FFFF0000Время: %6s s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Me: %5s ▢FFFFFFFF- ▢FFFF0000Time: %6s s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Ich: %5s ▢FFFFFFFF- ▢FFFF0000Zeit: %6s 秒	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Moi: %5s ▢FFFFFFFF- ▢FFFF0000Temps: %6s s	▢FF00FF004F:%1s ▢FFFFFFFF -▢FFFFFF00 3F:%2s ▢FFFFFFFF - ▢FF00FFFF 2F:%3s ▢FFFFFFFF - ▢FFFF0000 1F:%4s ▢FFFFFFFF -▢FFFFD700 Yo:%5s ▢FFFFFFFF- ▢FFFF0000 Tiempo:%6s s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700  I: %5s ▢FFFFFFFF- ▢FFFF0000Tempo:%6s  s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700  saya: %5s ▢FFFFFFFF- ▢FFFF0000wWaktu:%6s  s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 ฉัน: %5s ▢FFFFFFFF- ▢FFFF0000เวลา: %6s s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700ben: %5s ▢FFFFFFFF- ▢FFFF0000zaman:%6s  s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00  3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700Tôi: %5s ▢FFFFFFFF- ▢FFFF0000Thời gian:%6s  s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00 3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 私: %5s ▢FFFFFFFF- ▢FFFF0000時間: %6s	▢FF00FF004F: %1s▢FFFFFFFF -▢FFFFFF00 3F: %2s▢FFFFFFFF - ▢FF00FFFF2F: %3s▢FFFFFFFF - ▢FFFF00001F: %4s▢FFFFFFFF -▢FFFFD700 Mnie: %5s ▢FFFFFFFF- ▢FFFF0000Czas: %6s s
68	BedWarStore	起床战争	商店	store	Loja	магазин	상점	Laden	Boutique	Tienda	negozio	toko	ร้านค้า	Dükkan	Cửa hàng	お店	sklep
69	BedWarPublicMoney		公有货币产生点	factory of public money	Fábrica de dinheiro público	фабрика денег	공유 화폐 산출지	Das Geburtsort der Öffentlicher Währung	Point de génération de monnaie publique	Punto de generación de moneda pública	Punto di generazione di moneta pubblica	Titik menghasilkan mata uang publik	สกุลเงินสาธารณะ	Ortak para birimini üretim noktası	Điểm phát hành tiền tệ công hữu	公的通貨生成ポイント	fabryka pieniędzy publicznych
70	BedWarUpgrade		%1s▢FF00FFFF升级了▢FFFFFF00%2s。▥	%1s▢FF00FFFF upgrades the ▢FFFFFF00%2s▥	%1s▢FF00FFFF Atualizar o ▢FFFFFF00%2s▢	%1s▢FF00FFFF обновляет ▢FFFFFF00%2s▥	%1s▢FF00FFFF는 ▢FFFFFF00%2s를 업그레이드했습니다.▥	%1s▢FF00FFFF hat▢FFFFFF00%2s aktualisiert.▥	▢FF0000FF Mise à jour de ▢FFFF0000%1s▢FF0000FF pour devenir ▢FFFFFF00%2s.	%1s▢FF00FFFF ha actualizado ▢FFFFFF00%2s.	%1s▢FF00FFFF aggiornato▢FFFFFF00%2s.	%1s▢FF00FFFF meningkatkan ▢FFFFFF00%2s.	%1s▢FF00FFFF อัพเกรดแล้ว▢FFFFFF00%2s วินาที	%1s▢FF00FFFF GÜNCELLEME ▢FFFFFF00%2s。▥	%1s▢FF00FFFF đã nâng cấp lên ▢FFFFFF00%2s.	%1s▢FF00FFFFアップグレード:▢FFFFFF00%2s.▥	%1s▢FF00FFFF aktualizuje ▢FFFFFF00%2s▥
71	BedWarIronMoney		铁块货物	iron money	Dinheiro em Ferro	железные деньги	쇠 조각 화물	Eisenwaren	Objets en fer	Productos de hierro	Beni di ferro	Barang kotak besi	เหล็ก	Demir mallar	Hàng hóa sắt	鉄ブロック	żelazo
72	BedWarGlodMoney		金块货物	glod money	Dinheiro em ouro	золотые деньги	금덩이 화물	Bullion Waren	Objets en or	Productos de oro	Merci di lingotti	Barang kotak emas	สีทอง	Altın mallar	Hàng hóa vàng	ナゲット	glod
73	MsgGameScore	通用	▢FFFFD700分数 : %1s▥	▢FFFFD700Score : %1s▥	▢FFFFD700Pontos : %1s▢	▢FFFFD700Счёт : %1s▥	▢FFFFD700점수 : %1s▥	▢FFFFD700Punkt:%1s▥	▢FF0000FFScore:▢FFFF0000%1s	▢FFFFD700Puntuación:%1s	▢FFFFD700Punteggio:%1s	▢FFFFD700Nilai :%1s	▢FFFFD700คะแนน:%1s วินาที	▢FFFFD700Puan:%1s	▢FFFFD700Điểm số: %1s	▢FFFFD700スコア:%1s▥	▢FFFFD700Score:%1s▥
74	MsgWaitPlayer		▢FF00FFFF等待玩家中...	▢FF00FFFFWaiting for More Players…	▢FF00FFFFEsperando por mais jogadores…	▢FF00FFFFОжидание Игроков…	▢FF00FFFF게이머 대기중...	▢FF00FFFFWarten auf den Spieler ...	▢FF0000FFEn attente des joueurs…	▢FF00FFFFEsperando al jugador ...	▢FF00FFFFAspettando il giocatore ...	▢FF00FFFFMenunggu pemain ...	▢FF00FFFFกำลังรอผู้เล่น ...	▢FF00FFFFOyuncu bekleniyor ...	▢FF00FFFFĐang chờ người chơi...	▢FF00FF00プレイヤーを待っています...	▢FF00FFFFCzekam na więcej graczy ...
75	MsgCanStartCount		▢FF00FF00达到人数要求，准备开始游戏	▢FF00FF00Players Ready, Game Starting	▢FF00FF00Jogadores Prontos,Iniciando O Jogo	▢FF00FF00Игроки Готовы, Игра Начинается	▢FF00FF00인원 요구 수량 만족, 게임 시작 준비	▢FF00FF00Erreichen Sie die Anzahl der Anforderungen.Das Spiel starten	▢FF0000FFLe nombre de joueurs requis a été atteint, prêt à démarrer le jeu	▢FF00FF00Cumplir con el requisito de número de personas, listo para comenzar el juego	▢FF00FF00Soddisfa il numero di requisiti, pronto per iniziare il gioco	▢FF00FF00Memenuhi persyaratan jumlah game , siap untuk memulai game	▢FF00FF00จำนวนผู้เล่นเกมครบแล้ว พร้อมที่จะเริ่มเกม	▢FF00FF00Oyunun gereklilik sayısını yakalayın, oyuna başlamaya hazır mısınız?	▢FF00FF00Đã đạt giới hạn số lượng người chơi, bắt đầu chơi	▢FF00FF00ゲームを開始する準備が整いました.	▢FF00FF00Players Ready, Game Starting
76	SnowBattleGame	雪战百人斩	雪战百人斩	Snowball 100 Kills	SnowBattle	Snowball 100 Kills	Snow Battle 100 kills	Snowball 100 kills	Snowball 100 Kills	Snowball 100 Kills	Snowball 100 Kills	Perang salju ratusan orang	การต่อสู้สงครามหิมะร้อยคน	Snowball 100 Kills	Snowball 100 Kills	Snow Battle	Snowball 100 Kills
77	ZombieInfectingGame	生化危机	生化危机	Zombie Infecting	ZombieInfecting	Zombie Infecting	Zombie Infecting	Zombie Infecting	Zombies infection	Zombie Infecting	Zombie Infecting	Resident Evil	วิกฤติทางชีวเคมี	Zombie Infecting	Zombie Infecting	Zombie Infecting	Zombie Infecting
78	ZombieInfectingSoldierSelected		▢FF00FF00活下来，并消灭僵尸！	▢FF00FF00To survive and kill the zombies!	▢FF00FF00Para Sobreviver Mate Os Zombies!	▢FF00FF00Чтобы выжить и убивать зомби!	▢FF00FF00살아남고 좀비를 소멸시킵시다.	▢FF00FF00Leben und eliminieren  Zombies!	▢FF0000FFSurvivre et détruire les zombies!	▢FF00FF00Vive y destruye zombies!	▢FF00FF00Vivi e distruggi gli zombi!	▢FF00FF00Hidup dan hancurkan zombie!	▢FF00FF00ทำลายซอมบี้ทั้งหมด!	▢FF00FF00Hayatta kal ve zombileri yok et!	▢FF00FF00Sống lại và tiêu diệt cương thi!	▢FF00FF00ゾンビを生きて破壊する!	00FF00FF00Aby przetrwać i zabić zombie!
79	ZombieInfectingZombieSelected		▢FF00FF00寻找和感染所有的人类！	▢FF00FF00Find and infect all humans!	▢FF00FF00Encontre e infecte todos os seres humanos!	▢FF00FF00Найдите и заразите всех людей!	▢FF00FF00모든 인간을 찾아 감염시키도록 합시다.	▢FF00FF00Suchen und infizieren die ganze Menschheit!	▢FF0000FFChercher et infecter toute l'humanité!	▢FF00FF00¡Encuentra e infecta a toda la humanidad!	▢FF00FF00Trova e infetta tutti gli esseri umani!	▢FF00FF00Mecari dan menginfeksi semua manusia!	▢FF00FF00ค้นหาและติดเชื้อมนุษยชาติทั้งหมด	▢FF00FF00Tüm insanlığı bul ve bulaştır!	▢FF00FF00Tìm và lây nhiễm cho nhân loại!	▢FF00FF00すべての人間を見つけて感染させよう!	▢FF00FF00Znajdź i zainfekuj wszystkich ludzi!
80	ZombieInfectingSoldier		士兵	Soldier	Soldado	Солдат	병사	Soldat	Soldat	Soldado	Soldato	Tentara	ทหาร	Asker	Binh sĩ	兵士	Żołnierz
81	ZombieInfectingZombie		僵尸	Zombie	Zombie	Зомби	좀비	Zombie	Zombie	Zombie	Zombie	Zombie	ซอมบี้	Zombi	Cương thi	ゾンビ	Zambi
82	MsgGameInProgress		▢FF00FF00游戏进行中，请稍候	Game in progress, please wait.	Jogo em Progresso, Por Favor Espere...	Игра в процессе, пожалуйста подождите.	▢FF00FF00게임 진행중, 잠시 기다려 주십시오.	▢FF00FF00Das Spiel ist in Bearbeitung, bitte warten	▢FF0000FFBienvenue dans le jeu, veuillez patienter	▢FF00FF00El juego está en progreso, por favor espera	▢FF00FF00Il gioco è in corso, per favore aspetta	Permainan sedang berlangsung, mohon tunggu.	▢FF00FF00เกมกำลังเล่นอยู่ กรุณารอสักครู่	▢FF00FF00Oyun devam ediyor, lütfen bekleyin	▢FF00FF00Đang vào trò chơi, vui lòng chờ	▢FF00FF00ゲームが進行中の間お待ちください	Gra w toku, proszę czekać.
83	MsgGameNeedPlayers		▢FF00FFFF当前▢FFFF0000%1s▢FF00FFFF个玩家，至少需要▢FFFF0000%2s▢FF00FFFF个玩家。▥	▢FF00FFFFCurrent players: ▢FFFF0000%1s▢FF00FFFF, need: ▢FFFF0000%2s▢FF00FFFF.▥	▢FF00FFFFJogadores atuais: ▢FFFF0000%1s▢FF00FFFF,Precisa: ▢FFFF0000%2s.▥	▢FF00FFFFИгроков в игре: ▢FFFF0000%1s▢FF00FFFF, нужно игроков для старта: ▢FFFF0000%2s▢FF00FFFF.▢	▢FF00FFFF현 게이머 ▢FFFF0000%1s▢FF00FFFF명, 최소로 ▢FFFF0000%2s▢FF00FFFF 명 필요합니다.▥	▢FF00FFFFDerzeit gibt es ▢FFFF0000%1s▢FF00FFFF Spieler, mindestens ▢FFFF0000%1s▢FF00FFFF Spieler.▥	▢FF0000FFActuellement il y a ▢FFFF0000%1s▢FF0000FF joueur, au moins ▢FFFF0000%2s▢FF0000FF joueurs sont requis pour démarrer le jeu.	Actualmente, hay ▢FFFF0000%1s▢FF00FFFF jugadores y requieren al menos ▢FFFF0000%2s▢FF00FFFF jugadores.	▢FF00FFFFAttualmente I giocatori di ▢FFFF0000%1s▢FF00FFFF richiedono almeno ▢FFFF0000%2s▢FF00FFFF giocatori.	▢FF00FFFFPemain saat ini: ▢FFFF0000%1s▢FF00FFFF, butuh: ▢FFFF0000%2s▢FF00FFFF.▢	▢FF00FFFFผู้เล่นปัจจุบัน  ▢FFFF0000%1s▢FF00FFFF  จำเป็นต้อง  ▢FFFF0000%2s	▢FF00FFFFŞu anda ▢FFFF0000%1s▢FF00FFFF oyuncu en az ▢FFFF0000%2s▢FF00FFFF oyuncu gerektirir.	▢FF00FFFFHiện có ▢FFFF0000%1s▢FF00FFFF người chơi, cần ít nhất ▢FFFF0000%2s▢FF00FFFF người chơi.	▢FF00FF00プレイヤー:▢FFFF0000%1s▢FF00FFFF,必要:▢FFFF0000%2s	▢FF00FFFFCurrent gracze: ▢FFFF0000%1s▢FF00FFFF, potrzebujesz: ▢FFFF0000%2s▢FF00FFFF.▥
84	ZombieInfectingGameData		▢FF00FF00士兵: %1s ▢FFFFFFFF– ▢FF0000FF僵尸: %2s ▢FFFFFFFF– ▢FFFFD700分数: %3s	▢FF00FF00Soldier: %1s ▢FFFFFFFF– ▢FF0000FFZombie: %2s ▢FFFFFFFF– ▢FFFFD700Score: %3s	▢FF00FF00Soldier: %1s ▢FFFFFFFF– ▢FF0000FFZombie: %2s ▢FFFFFFFF– ▢FFFFD700Score: %3s	▢FF00FF00Солдат: %1s ▢FFFFFFFF– ▢FF0000FFЗомби: %2s ▢FFFFFFFF– ▢FFFFD700Очки: %3s	병사:  %1s - 강시: : %2s –  점수:  %3s	▢FF00FF00Soldat:%1s ▢FFFFFFFF– ▢FF0000FFZombie:%2s ▢FFFFFFFF– ▢FFFFD700Punktzahl:%3s	▢FF0000FFSoldats: %1s▢FFFFFFFF– ▢FF0000FFZombies: %2s▢FFFFFFFF– ▢FFFFD700 Score: %3s	▢FF00FF00Soldados:%1s ▢FFFFFFFF– ▢FF0000FF Zombies:%2s ▢FFFFFFFF– ▢FFFFD700 Puntuación:%3s	▢FF00FF00Soldato:%1s ▢FFFFFFFF– ▢FF0000FFZombie:%2s ▢FFFFFFFF– ▢FFFFD700Punteggio:%3s	▢FF00FF00Tentara: %1s ▢FFFFFFFF– ▢FF0000FFZombie: %2s ▢FFFFFFFF– ▢FFFFD700Skor: %3s	▢FF00FF00ทหาร: %1s ▢FFFFFFFF– ▢FF0000FFซากศพ: %2s ▢FFFFFFFF– ▢FFFFD700คะแนน: %3s	▢FF00FF00Asker:%1s ▢FFFFFFFF– ▢FF0000FFZombi:%2s ▢FFFFFFFF– ▢FFFFD700 Skor:%3s	▢FF00FF00Binh sĩ:%1s ▢FFFFFFFF– ▢FF0000FFCương thi:%2s ▢FFFFFFFF– ▢FFFFD700 Điểm số:%3s	▢FF00FF00兵士: %1s ▢FFFFFFFF– ▢FF0000FFゾンビ: %2s ▢FFFFFFFF– ▢FFFFD700得点: %3s	▢FF00FF00Żołnierz: %1s ▢FFFFFFFF– ▢FF0000FFZambi: %2s ▢FFFFFFFF– ▢FFFFD700Wynik: %3s
85	ZombieInfectingConvertToZombie		▢FFFF0000你被感染成僵尸	▢FFFF0000You are zombie now	▢FFFF0000Você é zumbi agora	▢FFFF0000Вы стали зомби	▢FFFF0000감염되어 강시가 되었습니다	▢FFFF0000war als ein Zombie infiziert	▢FFFF0000A été infecté et s'est transformé en zombie	▢FFFF0000Estás infectado como un zombie	▢FFFF0000? stato infettato da zombi	▢FFFF0000Anda zombie sekarang	▢FFFF0000คุณได้ติดต่อเป็นซากศพ	▢FFFF0000Bir zombiye dönüşmek üzere bulaşmış.	▢FFFF0000Bị nhiễm thành cương thi	▢FFFF0000あなたはゾンビとして感染しています	▢FFFF0000Jesteś teraz zombie
86	MsgPlayerIsEnough		▢FFFF0000该房间人数已满	▢FFFF0000Game has enough players.	▢FFFF0000O jogo tem jogadores suficientes.	▢FFFF0000В игре достаточно игроков.	▢FFFF0000방이 만원입니다	Der Raum ist voll	▢FFFF0000Le nombre de personnes dans cette chambre est complet	▢FFFF0000La habitación está llena	▢FFFF0000La stanza è piena	▢FFFF0000Permainan memiliki cukup pemain.	▢FFFF0000ห้องนี้ผู้เล่นเต็มแล้ว	▢FFFF0000Oda dolu	▢FFFF0000Số người phòng này đã đầy	▢FFFF0000この部屋の人数はいっぱいです	▢FFFF0000W grze jest wystarczająco dużo graczy.
87	MsgGameHasStarting		▢FF00FF00游戏已经开始了	▢FF00FF00Game has started.	▢FF00FF00O jogo começou.	▢FF00FF00Игра началась.	▢FF00FF00게임이 시작되었습니다	Das Spiel hat bereits begonnen.	▢FF00FF00Le jeu a déjà commencé	▢FFFF0000El juego ya ha comenzado	▢FF00FF00Il gioco è già iniziato	▢FF00FF00Permainan telah dimulai.	▢FF00FF00เกมได้เริ่มแล้ว	▢FF00FF00Oyun çoktan başladı.	▢FF00FF00Đã bắt đầu trò chơi	▢FF00FF00ゲームが始まりました	▢FF00FF00Gra się rozpoczęła.
88	MsgBuyGoodsFailedByNoStart		游戏还没开始，暂时不能购买物品	The game has not started, can not buy goods.	O jogo ainda não começou, não pode comprar itens.	Нельзя купить товары пока игра не началась.	게임이 시작되지 않았습니다. 상품을 구매할 수 없습니다	Das Spiel hat nicht begonnen, Sie können keine Waren vorübergehend kaufen	Le jeu n'a pas encore commencé, il est temporairement impossible d'acheter des marchandises	El juego no ha comenzado, no puede comprar artículos temporalmente	Il gioco non è iniziato, non è possibile acquistare merci temporaneamente	Permainan belum dimulai , tidak bisa beli barang.	เกมยังไม่เริ่ม ซื้อสิ่งของไม่ได้เป็นชั่วคราว	Oyun başlamadı, geçici olarak mal satın alamazsınız.	Trò chơi vẫn chưa bắt đầu, không thể mua vật phẩm	ゲームはまだ開始されていないので、一時的にアイテムを購入することはできません.	Gra się nie rozpoczęła, nie można kupić towarów.
89	ZombieDontBuyGoods		僵尸不能购买物品	Zombies can not buy goods.	Os zombis não podem comprar bens.	Зомби не могут покупать припасы.	강시는 상품을 구매할 수 없습니다.	Zombies können nicht kaufen	Les zombies ne peuvent pas acheter des marchandises	Los zombis no pueden comprar artículos	Gli zombi non possono comprare oggetti	Zombie tidak bisa beli barang.	ซากศพซื้อสิ่งของไม่ได้	Zombi öğeleri satın alamaz.	Cương thi không thể mua vật phẩm	ゾンビはアイテムを買えない	Zombie nie mogą kupować towarów.
